"","PlacetteID","rcp","Annee","Mois","Tmin","Tmax","PTot"
"1","400202303","RCP45",1991,1,-12.5839,-25.7226,7.46
"2","400202303","RCP45",1991,2,-5.64286,-20.1286,4.59
"3","400202303","RCP45",1991,3,-0.951613,-12.1581,11.96
"4","400202303","RCP45",1991,4,6.59333,-4.42,9.63
"5","400202303","RCP45",1991,5,15.2452,1.74516,10.65
"6","400202303","RCP45",1991,6,22.1333,7.47667,5.35
"7","400202303","RCP45",1991,7,23.5,10.4935,9.88
"8","400202303","RCP45",1991,8,21.8806,9.94839,15.53
"9","400202303","RCP45",1991,9,14.01,3.2,6.01
"10","400202303","RCP45",1991,10,8.44839,-0.290323,17.56
"11","400202303","RCP45",1991,11,1.63333,-6.42,3.55
"12","400202303","RCP45",1991,12,-8.45806,-20.3161,6.59
"13","400202303","RCP45",1992,1,-11.4484,-23.5871,9.77
"14","400202303","RCP45",1992,2,-9.62759,-22.9724,7.45
"15","400202303","RCP45",1992,3,-3.16452,-16.8129,6.58
"16","400202303","RCP45",1992,4,4.56333,-5.80667,9.53
"17","400202303","RCP45",1992,5,17.3935,1.24516,4.02
"18","400202303","RCP45",1992,6,18.59,6.7,13.51
"19","400202303","RCP45",1992,7,18.9774,7.83548,20.21
"20","400202303","RCP45",1992,8,20.0258,9.6129,12.34
"21","400202303","RCP45",1992,9,16.49,5.53667,11.52
"22","400202303","RCP45",1992,10,5.7871,-1.68387,6.56
"23","400202303","RCP45",1992,11,-0.453333,-8.10667,4.67
"24","400202303","RCP45",1992,12,-5.92581,-15.5065,7.16
"25","400202303","RCP45",1993,1,-11.0065,-23.9613,5.13
"26","400202303","RCP45",1993,2,-12.6286,-26.6571,6.53
"27","400202303","RCP45",1993,3,-0.574194,-15.3387,5.46
"28","400202303","RCP45",1993,4,7.71667,-3.67333,5.99
"29","400202303","RCP45",1993,5,14.5645,3.12903,11.34
"30","400202303","RCP45",1993,6,20.4667,6.92,12.71
"31","400202303","RCP45",1993,7,22.6839,10.9677,11.15
"32","400202303","RCP45",1993,8,22.2613,10.4065,11.03
"33","400202303","RCP45",1993,9,15.62,3.77333,8.92
"34","400202303","RCP45",1993,10,5.4,-2.41935,9.38
"35","400202303","RCP45",1993,11,-0.66,-9.87333,6.28
"36","400202303","RCP45",1993,12,-6.5871,-17,7.23
"37","400202303","RCP45",1994,1,-17.2774,-30.4355,7.4
"38","400202303","RCP45",1994,2,-10.0857,-23.5036,3.39
"39","400202303","RCP45",1994,3,-0.567742,-12.1065,6.26
"40","400202303","RCP45",1994,4,4.33,-5.88,5.85
"41","400202303","RCP45",1994,5,13.7581,-0.116129,9.18
"42","400202303","RCP45",1994,6,21.3833,9.25333,14.42
"43","400202303","RCP45",1994,7,22.2484,11.5258,15.09
"44","400202303","RCP45",1994,8,19.3742,8.31936,12.41
"45","400202303","RCP45",1994,9,15.2933,5.18,8.24
"46","400202303","RCP45",1994,10,11.5,0.670968,4.87
"47","400202303","RCP45",1994,11,2.37333,-6.09667,11.21
"48","400202303","RCP45",1994,12,-4.76129,-13.3581,5.89
"49","400202303","RCP45",1995,1,-7.14516,-16.8484,8.82
"50","400202303","RCP45",1995,2,-10.375,-22.6,7.84
"51","400202303","RCP45",1995,3,-0.596774,-11.5581,8.11
"52","400202303","RCP45",1995,4,3.00333,-7.10333,6.86
"53","400202303","RCP45",1995,5,13.7,1.98387,7.51
"54","400202303","RCP45",1995,6,23.38,8.82333,4.5
"55","400202303","RCP45",1995,7,25.0516,12.4355,7.48
"56","400202303","RCP45",1995,8,23.7161,9.94516,8.6
"57","400202303","RCP45",1995,9,15.2767,2.82,8.26
"58","400202303","RCP45",1995,10,10.571,1.65484,10.08
"59","400202303","RCP45",1995,11,-0.683333,-9.79,8.14
"60","400202303","RCP45",1995,12,-7.97097,-18.1581,7.64
"61","400202303","RCP45",1996,1,-10.5161,-23.2742,6.35
"62","400202303","RCP45",1996,2,-8.16552,-19.569,9.38
"63","400202303","RCP45",1996,3,-1.15806,-14.5935,1.92
"64","400202303","RCP45",1996,4,5.28,-4.23,10.91
"65","400202303","RCP45",1996,5,13.8258,0.635484,8.68
"66","400202303","RCP45",1996,6,21.9467,8.69,6.89
"67","400202303","RCP45",1996,7,21.6,11.0419,31.86
"68","400202303","RCP45",1996,8,22.3226,9.53871,4.16
"69","400202303","RCP45",1996,9,16.1733,5.02667,12.97
"70","400202303","RCP45",1996,10,7.77742,-1.10323,8.86
"71","400202303","RCP45",1996,11,0.72,-7.88,9.5
"72","400202303","RCP45",1996,12,-3.00645,-11.3968,8.84
"73","400202303","RCP45",1997,1,-9.62903,-21.5,13.69
"74","400202303","RCP45",1997,2,-7.91786,-21.7107,9.78
"75","400202303","RCP45",1997,3,-3.93226,-16.7355,3.37
