Strate;PlacetteID;Latitude;Longitude;Altitude;Sdom_Bio;Reg_Eco;Type_Eco;Cl_Drai;Espece;Etat;DHPcm;Nombre;Veg_Pot;origTreeID;PTot;TMoy;cec_015cm;sand_015cm;Pente;Exposition;Age_moy
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;EPB;10;18;1;MS2;1;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;EPB;10;18;1;MS2;2;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;EPB;10;18;1;MS2;3;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;EPB;10;16;1;MS2;4;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;BOP;10;16;1;MS2;5;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;SAB;10;14;1;MS2;6;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;SAB;10;14;1;MS2;7;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;BOP;10;14;1;MS2;8;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;EPB;10;12;1;MS2;9;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;SAB;10;12;1;MS2;10;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;SAB;10;12;1;MS2;11;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;EPB;10;12;1;MS2;12;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;EPB;10;12;1;MS2;13;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;BOP;10;12;1;MS2;14;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;SAB;10;12;1;MS2;15;1074;1.200000048;3;70.59999847;6;129;50
Sapiniere30ans;400202303;48.118035;-70.435297;402;1;5c;MS25P;31;BOP;10;12;1;MS2;16;1074;1.200000048;3;70.59999847;6;129;50
